run_id,git_sha,prompt_version,suite,eval_type,ticker,question_id,question,hallucination_ok,elapsed_ms,dialogue_fixture_id,dialogue_turns,dialogue_composite,dialogue_composite_se,dialogue_n,judge_model,agent_model,analyst_likeness,analyst_likeness_rationale,analyst_likeness_se,helpfulness,helpfulness_rationale,helpfulness_se,non_hallucination,non_hallucination_rationale,non_hallucination_se,exploration_quality,exploration_quality_rationale,exploration_quality_se,voice_match,voice_match_rationale,voice_match_se
20260530T055035Z-2b8838-dialogue,793519e,b9a3e2ee16,dialogue,dialogue,JPM,jpm-pronoun-after-thesis,Give me a JPM thesis. | compare that risk to the upside.,0,34524,jpm-pronoun-after-thesis,2,0.48,,,equity-agent/bench-gptoss120b (groq/openai/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.6,"The reply provides detailed analysis with sector insight, but relies on templated language and lacks the nuanced judgment of a senior analyst.",,0.8,"It directly addresses the risk‑upside comparison with concrete points, giving the user actionable context.",,0.0,Deterministic numeric checker failed: unsupported: 5.,,0.3,"The assistant does not ask any clarifying questions or probe further, offering no exploration beyond the immediate request.",,0.7,"The response is concise, avoids padding or apologies, and stays in a direct analyst tone.",
20260530T055035Z-2b8838-dialogue,793519e,b9a3e2ee16,dialogue,dialogue,UNH,unh-news-risk,Are there any concerning UNH news items lately? | so what is the risk to watch?,1,31474,unh-news-risk,2,0.87,,,equity-agent/bench-gptoss120b (groq/openai/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,"The reply is specific, grounded in news, and uses a plain‑spoken analyst tone.",,0.85,It directly answers the user’s request by identifying the key risk and its context.,,1.0,All numeric and factual statements are supported by the supplied reports and passed the deterministic check.,,0.7,The answer is complete but does not probe for additional user concerns or ambiguous aspects.,,0.9,"The response is concise, hedged appropriately, and avoids padding, apologies, or sign‑offs.",
20260606T103147Z-7173a4-dialogue,867258c,2689f49b72,dialogue,dialogue,AAPL,aapl-thesis-retail-followup,Give me an AAPL thesis. | what does that mean for retail?,1,14543,aapl-thesis-retail-followup,2,0.91,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,The reply adopts a senior‑equity‑analyst tone with specific fundamentals and technical details.,,0.9,It directly addresses the retail‑investor angle and offers concrete points to monitor.,,1.0,All numeric claims are sourced from the provided reports and the deterministic check is clean.,,0.8,The answer is thorough but does not probe for further clarification or user intent.,,0.95,"The response is concise, hedged where appropriate, and avoids filler or apologies.",
20260606T103147Z-7173a4-dialogue,867258c,2689f49b72,dialogue,dialogue,AAPL,aapl-next-week-watch,What should I watch on AAPL next week?,1,71057,aapl-next-week-watch,1,0.78,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.7,The reply is largely factual and specific but contains some template-like padding that reduces the analyst feel.,,0.85,It directly answers the user by highlighting WWDC as the key event and its potential impact.,,1.0,All numeric and factual statements are supported by the supplied sources and the deterministic check passed.,,0.6,The assistant provides information but does not ask clarifying questions or probe the user's specific interests.,,0.75,"The tone is mostly direct and hedged, though occasional repetition and filler prevent a perfect match.",
20260606T103147Z-7173a4-dialogue,867258c,2689f49b72,dialogue,dialogue,NVDA,nvda-thesis-narrative-numbers,Give me the current NVDA setup.,1,9866,nvda-thesis-narrative-numbers,1,0.92,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,"The response provides specific, grounded technical details in a plain‑spoken analyst tone.",,0.95,It directly answers the request with the current NVDA technical setup and relevant metrics.,,1.0,All numeric claims are sourced from the supplied reports and the deterministic check returned clean.,,0.8,"The request was clear, so no follow‑up question was needed, though a brief probe could have added value.",,0.95,"The reply is concise, hedged appropriately, and contains no padding, apologies, or sign‑offs.",
20260606T103147Z-7173a4-dialogue,867258c,2689f49b72,dialogue,dialogue,AAPL,aapl-compare-one-ticker-clarify,Compare AAPL with them.,1,195041,aapl-compare-one-ticker-clarify,1,0.94,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,"The reply is concise, plain‑spoken and shows a senior analyst’s habit of seeking needed data before analysis.",,0.9,"It gives the user a clear next step by requesting the missing ticker, avoiding evasion.",,1.0,"No numeric or factual claims are made, and the deterministic check is clean.",,0.95,It correctly flags the request as ambiguous and asks the user to specify the comparison target.,,0.95,"The response is direct, hedged appropriately, and contains no padding or unnecessary phrasing.",
20260606T103147Z-7173a4-dialogue,867258c,2689f49b72,dialogue,dialogue,TSLA,vague-thoughts-clarify,What do you think?,1,8671,vague-thoughts-clarify,1,0.8,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.6,The reply is brief and asks for clarification but lacks the depth and confidence of a senior analyst.,,0.7,"It seeks needed information to proceed, providing a useful next step rather than evading.",,1.0,"No numeric or factual claims are made, so it fully complies with the deterministic check.",,0.9,The response correctly asks back to resolve the ambiguous request and invites the user to specify a name.,,0.8,"The reply is direct, hedged appropriately, and contains no padding or apologies.",
20260606T103147Z-7173a4-dialogue,867258c,2689f49b72,dialogue,dialogue,MSFT,greeting-capabilities,"Hi, what can you help me with?",1,6767,greeting-capabilities,1,0.9,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.8,"The reply adopts a competent analyst tone, listing relevant equities and analysis types without unnecessary filler.",,0.9,It clearly informs the user of the services offered and prompts for a specific ticker or angle.,,1.0,"No numeric or factual claims are made, and the deterministic check is clean.",,0.9,"It proactively asks the user to specify a ticker or focus, guiding the conversation forward.",,0.9,"The response is direct, hedged appropriately, and contains no padding or apologies.",
20260606T103147Z-7173a4-dialogue,867258c,2689f49b72,dialogue,dialogue,TSLA,tsla-technical-why,Walk me through TSLA's chart setup. | why?,1,19757,tsla-technical-why,2,0.89,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,"The reply provides specific technical metrics in a plain‑spoken, analyst‑style tone.",,0.9,It directly answers the user’s “why?” with concrete chart details and a clear catalyst.,,1.0,All numeric claims are sourced from the supplied report and the deterministic check returned clean.,,0.7,The answer explains the rationale but does not ask follow‑up questions to probe user intent.,,0.95,"The response is concise, hedged appropriately, and contains no padding or apologies.",
20260606T103147Z-7173a4-dialogue,867258c,2689f49b72,dialogue,dialogue,MSFT,msft-news-what-matters,"What's driving MSFT headlines, and what actually matters?",1,13162,msft-news-what-matters,1,0.84,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.8,The reply uses specific news points and plain‑spoken analysis typical of a senior US‑equities analyst.,,0.9,It directly answers the user’s query by summarizing the headline drivers and what matters for Microsoft.,,1.0,All numeric and factual statements are grounded in the supplied reports and the deterministic check passed.,,0.6,The response provides information but does not ask follow‑up questions or probe ambiguous intent.,,0.9,"The answer is concise, hedged where appropriate, and avoids padding, apologies, or repetition.",
20260606T103147Z-7173a4-dialogue,867258c,2689f49b72,dialogue,dialogue,GOOGL,googl-overvalued-plan,Is GOOGL overvalued?,0,15095,googl-overvalued-plan,1,0.64,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.8,"The reply reads like a knowledgeable analyst, offering concrete metrics and a balanced view.",,0.9,It directly answers the overvaluation query with relevant valuation and growth data.,,0.0,Deterministic numeric checker failed: unsupported: 5.,,0.6,The response provides information but does not probe further or ask clarifying questions.,,0.9,"The tone is direct, hedged appropriately, and free of padding or apologies.",
20260606T103147Z-7173a4-dialogue,867258c,2689f49b72,dialogue,dialogue,META,meta-caution-thesis,Should I be cautious about META here?,1,15525,meta-caution-thesis,1,0.91,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,The reply uses specific metrics and plain‑spoken analysis typical of a senior US‑equities analyst.,,0.9,"It directly addresses the user’s caution query with concrete fundamentals, technicals, and news context.",,1.0,All numeric figures are sourced from the provided reports and the deterministic check returned clean.,,0.8,The answer is thorough but does not ask follow‑up questions that could refine the user’s intent.,,0.95,"The response is concise, hedged where appropriate, and contains no padding, apologies, or sign‑offs.",
20260606T103147Z-7173a4-dialogue,867258c,2689f49b72,dialogue,dialogue,JPM,jpm-pronoun-after-thesis,Give me a JPM thesis. | compare that risk to the upside.,0,22413,jpm-pronoun-after-thesis,2,0.59,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.7,"The reply uses specific metrics and plain‑spoken analysis, but leans on repetitive phrasing rather than a crisp senior‑analyst tone.",,0.8,It directly addresses the risk‑vs‑upside comparison with relevant fundamentals and technical points.,,0.0,Deterministic numeric checker failed: unsupported: 5.,,0.6,The answer provides the requested comparison but does not probe for clarification or additional user intent.,,0.85,"The response is direct, hedged appropriately, and avoids padding or apologies, aligning well with the ADR voice.",
20260606T103147Z-7173a4-dialogue,867258c,2689f49b72,dialogue,dialogue,UNH,unh-news-risk,Are there any concerning UNH news items lately? | so what is the risk to watch?,1,141262,unh-news-risk,2,0.91,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,"The reply uses specific, grounded language and a senior‑analyst tone without filler.",,0.9,It directly addresses the user’s request by highlighting the key regulatory risk and next‑step monitoring.,,1.0,All numeric and factual statements are supported by the supplied reports and the deterministic check passed.,,0.8,The answer is complete but does not probe for clarification or additional user intent.,,0.95,"The response is concise, hedged appropriately, and avoids padding or apologies.",
20260606T103147Z-7173a4-dialogue,867258c,2689f49b72,dialogue,dialogue_summary,,ALL,,,,,,0.8358,0.0331,12,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.8167,,0.0297,0.875,,0.019,0.8333,,0.1124,0.7542,,0.0377,0.9,,0.0195
20260616T182622Z-3bab54-dialogue,68facdf,dc79f7ab0c,dialogue,dialogue,AAPL,aapl-thesis-retail-followup,Give me an AAPL thesis. | what does that mean for retail?,1,26778,aapl-thesis-retail-followup,2,0.77,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.7,The reply uses analyst‑style language and data but is overly repetitive and template‑like.,,0.8,It directly addresses the retail angle with relevant valuation and catalyst points.,,1.0,All numeric and factual statements are sourced from the provided reports and the deterministic check passed.,,0.6,The assistant does not probe the user for additional context or preferences despite the open‑ended request.,,0.75,"The tone is direct and hedged without padding, though it repeats information more than necessary.",
20260616T182622Z-3bab54-dialogue,68facdf,dc79f7ab0c,dialogue,dialogue,AAPL,aapl-next-week-watch,What should I watch on AAPL next week?,1,24229,aapl-next-week-watch,1,0.83,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.8,"The response reads like a knowledgeable analyst, though it includes a bit of unnecessary filler.",,0.9,It provides concrete watch points and relevant technical data the user asked for.,,1.0,All numeric and factual statements are supported by the supplied reports and the deterministic check passed.,,0.6,The answer is thorough but does not ask clarifying questions despite the request being open‑ended.,,0.85,"The tone is direct and hedged without apologies or padding, matching the ADR voice.",
20260616T182622Z-3bab54-dialogue,68facdf,dc79f7ab0c,dialogue,dialogue,NVDA,nvda-thesis-narrative-numbers,Give me the current NVDA setup.,1,16178,nvda-thesis-narrative-numbers,1,0.84,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.8,"The response provides detailed, grounded technical analysis in a senior‑analyst tone.",,0.9,It directly answers the request with relevant metrics and context.,,1.0,All numeric claims are supported by the supplied reports and passed the deterministic check.,,0.6,The answer is complete but does not probe for clarification or additional user intent.,,0.9,"The reply is concise, hedged appropriately, and avoids padding or apologies.",
20260616T182622Z-3bab54-dialogue,68facdf,dc79f7ab0c,dialogue,dialogue,AAPL,aapl-compare-one-ticker-clarify,Compare AAPL with them.,1,7681,aapl-compare-one-ticker-clarify,1,0.94,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,The reply adopts a competent analyst tone and seeks clarification without filler.,,0.9,It provides useful next-step options and asks the user to specify the comparison angle.,,1.0,"No numeric or factual claims are made, and the deterministic check is clean.",,0.95,The assistant asks back to resolve ambiguity and suggests relevant comparison angles.,,0.95,"The response is direct, hedged appropriately, and contains no padding or unnecessary repetition.",
20260616T182622Z-3bab54-dialogue,68facdf,dc79f7ab0c,dialogue,dialogue,TSLA,vague-thoughts-clarify,What do you think?,1,8833,vague-thoughts-clarify,1,0.36,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.2,"The reply is vague and lacks the specific, grounded tone of a senior equity analyst.",,0.2,It provides no substantive information or next steps for the user’s query.,,1.0,"No numeric or factual claims are made, so it passes the deterministic check.",,0.1,The assistant does not ask clarifying questions or offer relevant context when the request is ambiguous.,,0.3,"The response is brief but generic, lacking the direct, hedged style expected of the ADR voice.",
20260616T182622Z-3bab54-dialogue,68facdf,dc79f7ab0c,dialogue,dialogue,MSFT,greeting-capabilities,"Hi, what can you help me with?",1,6396,greeting-capabilities,1,0.9,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.8,"The reply adopts a competent analyst tone, listing relevant equities and analysis types without unnecessary filler.",,0.9,"It clearly informs the user of the services offered and invites a specific request, providing useful next-step context.",,1.0,"No numeric or factual claims are made, and the deterministic check reports clean.",,0.9,"It proactively asks the user to specify a ticker or angle, encouraging further clarification.",,0.9,"The response is direct, hedged appropriately, and avoids padding, apologies, or redundant repetition.",
20260616T182622Z-3bab54-dialogue,68facdf,dc79f7ab0c,dialogue,dialogue,TSLA,tsla-technical-why,Walk me through TSLA's chart setup. | why?,1,21498,tsla-technical-why,2,0.92,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,"The response uses specific technical metrics and asks a probing question, reflecting a senior analyst tone.",,0.85,"It delivers concrete chart details and a clear next‑step focus, though some repetition limits brevity.",,1.0,All numeric claims are grounded in the supplied technical report and pass the deterministic check.,,0.9,"It invites the user to consider price movement scenarios, showing proactive inquiry.",,0.95,"The reply is direct, hedged appropriately, and free of padding or apologies.",
20260616T182622Z-3bab54-dialogue,68facdf,dc79f7ab0c,dialogue,dialogue,MSFT,msft-news-what-matters,"What's driving MSFT headlines, and what actually matters?",1,14049,msft-news-what-matters,1,0.88,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,"The reply uses specific, grounded details and a plain‑spoken tone typical of a senior US‑equities analyst.",,0.85,It delivers the key news points and context the user asked for without evasion.,,1.0,"All numeric and factual statements (e.g., the $120 billion AI spend) are supported by the supplied reports and passed the deterministic check.",,0.7,The answer provides information but does not ask follow‑up questions when the request could be further clarified.,,0.95,"The response is direct, hedged appropriately, and free of padding, apologies, or redundant phrasing.",
20260616T182622Z-3bab54-dialogue,68facdf,dc79f7ab0c,dialogue,dialogue,GOOGL,googl-overvalued-plan,Is GOOGL overvalued?,1,17643,googl-overvalued-plan,1,0.83,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.8,"The reply is detailed and grounded, sounding like a competent senior US‑equities analyst without excessive filler.",,0.85,It directly answers the overvaluation question with relevant valuation and growth metrics.,,1.0,All numeric claims are supported by the supplied reports and the deterministic check passed.,,0.6,The response does not ask follow‑up questions or seek clarification despite the ambiguous overvaluation query.,,0.9,"The tone is direct, hedged appropriately, and free of padding, apologies, or sign‑offs.",
20260616T182622Z-3bab54-dialogue,68facdf,dc79f7ab0c,dialogue,dialogue,META,meta-caution-thesis,Should I be cautious about META here?,1,19111,meta-caution-thesis,1,0.92,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,"The reply uses specific valuation, growth, and technical metrics in a plain‑spoken, senior‑analyst tone.",,0.95,It directly answers the caution question with concrete data and risk considerations.,,1.0,All numeric claims are sourced from the provided reports and the deterministic check passed.,,0.8,The answer is thorough but does not ask follow‑up questions despite the request being clear.,,0.95,"The response is concise, hedged where appropriate, and contains no padding or apologies.",
20260616T182622Z-3bab54-dialogue,68facdf,dc79f7ab0c,dialogue,dialogue,AMD,amd-pronoun-after-thesis,Give me an AMD thesis. | compare that risk to the upside.,1,26822,amd-pronoun-after-thesis,2,0.88,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.8,"The reply uses specific metrics and plain‑spoken analysis, though it leans toward a templated summary.",,0.9,It directly addresses the risk‑vs‑upside request with concrete points and context.,,1.0,All numeric claims match the supplied reports and the deterministic check returned clean.,,0.8,The answer is complete for the clear request but does not probe further when the request could be expanded.,,0.9,"The response is concise, hedged where appropriate, and contains no padding or apologies.",
20260616T182622Z-3bab54-dialogue,68facdf,dc79f7ab0c,dialogue,dialogue,INTC,intc-news-risk,Are there any concerning INTC news items lately? | so what is the risk to watch?,1,32163,intc-news-risk,2,0.68,,,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.6,The reply is fairly direct and grounded but repeats generic language and lacks the depth of a senior analyst.,,0.7,"It identifies a clear risk focus for Intel’s AI partnerships, providing useful context for the user.",,0.8,All factual statements align with the supplied reports and the deterministic check returned clean.,,0.4,The assistant does not ask follow‑up questions or seek clarification despite the ambiguous risk request.,,0.9,"The response is concise, hedged appropriately, and avoids padding or unnecessary apologies.",
20260616T182622Z-3bab54-dialogue,68facdf,dc79f7ab0c,dialogue,dialogue_summary,,ALL,,,,,,0.8125,0.0462,12,equity-agent/bench-cerebras-gptoss120b (cerebras/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.7583,,0.057,0.8083,,0.0583,0.9833,,0.0167,0.6625,,0.0694,0.85,,0.0526
